万得代码,名称,日期,时间,开盘价,最高价,最低价,收盘价,交易量,交易额,配对项,利率
000001.SZ,平安银行,20070104,160000000,3664750,3832352,3459624,3529667,69207082,1016722860,32557,0
000001.SZ,平安银行,20070105,160000000,3484639,3484639,3251996,3267005,53732890,715011000,33605,0
000001.SZ,平安银行,20070108,160000000,3264504,3387079,3256999,3344553,31761560,421819400,15542,0
000001.SZ,平安银行,20070109,160000000,3349556,3472131,3327042,3452119,47968021,650410190,18091,0
000001.SZ,平安银行,20070110,160000000,3449618,3559685,3402088,3522162,44737422,619003210,19058,0
000001.SZ,平安银行,20070111,160000000,3547177,3697270,3524664,3697270,40996055,599350530,16881,0
000001.SZ,平安银行,20070112,150500000,3779820,3882383,3727288,3882383,90902123,1399725030,45431,0
000001.SZ,平安银行,20070115,150500000,3877380,4077503,3762309,4077503,55236455,873682680,27143,0
000001.SZ,平安银行,20070116,151400000,4127534,4282629,4127534,4257614,52523640,893096120,24248,0
000001.SZ,平安银行,20070117,160000000,4252611,4400201,4102518,4257614,45910806,779058420,20909,0
000001.SZ,平安银行,20070118,151500000,4240103,4282629,4044983,4047485,48969519,801280760,21496,0
000001.SZ,平安银行,20070119,150500000,4052488,4250109,4052488,4240103,47932790,802892920,19464,0
000001.SZ,平安银行,20070122,150500000,4280127,4452733,4280127,4442727,54038875,958069060,20771,0
000001.SZ,平安银行,20070123,150500000,4377687,4577810,4330158,4527779,50369492,895826280,19736,0
000001.SZ,平安银行,20070124,150500000,4502764,4627841,4387693,4430220,44248617,794955320,17856,0
000001.SZ,平安银行,20070125,150500000,4452733,4520275,4345167,4352672,48436276,861761520,16678,0
000001.SZ,平安银行,20070126,150500000,4552795,4570306,4402703,4570306,62425541,1127756300,24729,0
000001.SZ,平安银行,20070129,150500000,4727902,4797945,4727902,4797945,27014435,517616070,10826,0
000001.SZ,平安银行,20070130,150500000,5035591,5038093,4978056,5038093,29635567,595829410,11262,0
000001.SZ,平安银行,20070131,150500000,5248222,5248222,4785438,4785438,73196002,1459524470,33847,0
000001.SZ,平安银行,20070201,150500000,4642850,4742912,4545290,4617835,66285498,1222286990,26567,0
000001.SZ,平安银行,20070202,150500000,4547792,4667865,4387693,4387693,39611049,709006990,17702,0
000001.SZ,平安银行,20070205,150500000,4327657,4410207,4167558,4175063,39927406,679882760,16974,0
000001.SZ,平安银行,20070206,150500000,4175063,4382690,4167558,4382690,28237726,484248890,9997,0
000001.SZ,平安银行,20070207,150500000,4602826,4602826,4602826,4602826,5916647,108866300,1969,0
000001.SZ,平安银行,20070208,160000000,4602826,4832967,4527779,4777933,64727854,1225465310,26723,0
000001.SZ,平安银行,20070209,150500000,4795444,4802948,4572807,4600324,30926290,576342130,16911,0
000001.SZ,平安银行,20070212,150500000,4592819,4830465,4592819,4830465,25159809,482695230,13268,0
000001.SZ,平安银行,20070213,150500000,5003071,5053102,4852979,4918019,24394451,482550360,15705,0
000001.SZ,平安银行,20070214,150500000,4973053,5150662,4903010,5140656,27999331,568001000,19375,0
000001.SZ,平安银行,20070215,150500000,5165671,5295751,5053102,5130650,31972344,663331460,18946,0
000001.SZ,平安银行,20070216,150500000,5178179,5353286,5145659,5203194,27975051,587215170,16770,0
000001.SZ,平安银行,20070226,150500000,5103133,5128148,4958044,5055604,21393632,430798230,13545,0
000001.SZ,平安银行,20070227,150500000,5053102,5200693,4802948,4802948,22746641,449230070,12290,0
000001.SZ,平安银行,20070228,150500000,4562801,4797945,4562801,4765425,43811486,808293420,23875,0
000001.SZ,平安银行,20070301,150500000,4752918,4752918,4527779,4527779,22927483,418404550,15046,0
000001.SZ,平安银行,20070302,150500000,4480250,4595321,4390195,4550293,20750706,374155480,13345,0
000001.SZ,平安银行,20070305,150500000,4515272,4570306,4322654,4380189,31385015,553921860,17479,0
000001.SZ,平安银行,20070306,150500000,4382690,4600324,4380189,4600324,28507821,518521170,13878,0
000001.SZ,平安银行,20070307,150500000,4602826,4727902,4577810,4655358,28029635,520049140,14042,0
000001.SZ,平安银行,20070308,150500000,4675370,4865487,4655358,4727902,18552006,352256700,12004,0
000001.SZ,平安银行,20070309,150500000,4727902,4802948,4647853,4742912,21954379,414411880,13425,0
000001.SZ,平安银行,20070312,150500000,4740410,4752918,4515272,4602826,15982161,295400550,11859,0
000001.SZ,平安银行,20070313,150500000,4602826,4695382,4592819,4635346,13520785,251016020,8160,0
000001.SZ,平安银行,20070314,160000000,4577810,4577810,4452733,4500263,18252022,328372460,12211,0
000001.SZ,平安银行,20070315,150500000,4490256,4602826,4490256,4595321,14248334,259448780,8837,0
000001.SZ,平安银行,20070316,150500000,4597822,4630342,4487755,4515272,18641612,339576410,10875,0
000001.SZ,平安银行,20070319,150500000,4445229,4740410,4402703,4740410,27595802,516975860,15153,0
000001.SZ,平安银行,20070320,150500000,4852979,4852979,4727902,4737908,25024333,478599980,13874,0
000001.SZ,平安银行,20070321,150500000,4787939,4975554,4772930,4975554,35862050,706176900,20165,0
000001.SZ,平安银行,20070322,150500000,5075616,5223206,4877995,4990564,54898793,1121148790,28681,0
000001.SZ,平安银行,20070323,150500000,4915518,4940533,4740410,4847976,35862049,694815300,22154,0
